name	clus_1	clus_2	clus_3	clus_4	memb	cluster	subregion
S_380313N1219426W001	0.9843111434	0.0000456773	0.0000066239	0.0156365554	1	1	sub6sub7
S_381626N1213651W001	0.0000000512	0.9999999419	0.0000000002	0.0000000067	2	2	sub6sub7
S_382615N1220919W001	0.7727746459	0.2019028637	0.0084627690	0.0168597214	1	1	sub6sub7
S_384899N1218682W001	0.0000021754	0.0001186458	0.9998703509	0.0000088279	3	3	sub6sub7
S_385106N1219735W001	0.0002437825	0.9981966473	0.0012725085	0.0002870617	2	2	sub6sub7
S_385947N1213985W001	0.9999981603	0.0000002911	0.0000005862	0.0000009624	1	1	sub6sub7
S_385947N1213985W002	0.9999978946	0.0000011722	0.0000001902	0.0000007429	1	1	sub6sub7
S_385947N1213985W003	0.9999455946	0.0000488713	0.0000019776	0.0000035565	1	1	sub6sub7
S_385947N1213985W004	0.9995362949	0.0004163655	0.0000098951	0.0000374446	1	1	sub6sub7
S_386008N1215488W001	0.4749046291	0.0100197906	0.2805249368	0.2345506435	1	1	sub6sub7
S_386041N1216747W001	0.9958247374	0.0010696646	0.0000000074	0.0031055906	1	1	sub6sub7
S_386041N1216747W002	0.9999999356	0.0000000001	0.0000000000	0.0000000644	1	1	sub6sub7
S_386310N1213864W001	0.9929015640	0.0035916043	0.0005999772	0.0029068545	1	1	sub6sub7
S_386330N1217103W001	0.9999939848	0.0000000089	0.0000000000	0.0000060063	1	1	sub6sub7
S_386401N1216605W001	0.9999398403	0.0000000097	0.0000000003	0.0000601497	1	1	sub6sub7
S_386410N1213995W001	0.9150707482	0.0294228663	0.0377857710	0.0177206146	1	1	sub6sub7
S_386464N1216675W002	0.4179265599	0.0155802337	0.0002924683	0.5662007380	4	4	sub6sub7
S_386464N1216675W003	0.9593239696	0.0001079202	0.0000025171	0.0405655931	1	1	sub6sub7
S_386464N1216675W004	0.9871056106	0.0001157782	0.0000006483	0.0127779630	1	1	sub6sub7
S_386466N1216729W001	0.9999796143	0.0000025365	0.0000001244	0.0000177248	1	1	sub6sub7
S_386470N1216654W001	0.9999994295	0.0000000085	0.0000000000	0.0000005619	1	1	sub6sub7
S_386472N1216814W001	0.9999999360	0.0000000001	0.0000000000	0.0000000639	1	1	sub6sub7
S_386477N1216907W001	0.9987332606	0.0000000003	0.0000000000	0.0012667391	1	1	sub6sub7
